pc4;woz;urb
1011;509;1
1012;480;1
1013;471;1
1014;731;1
1015;532;1
1016;606;1
1017;734;1
1018;494;1
1019;531;1
1021;333;1
1022;321;1
1023;421;1
1024;329;1
1025;333;1
1026;794;5
1027;774;5
1028;828;5
1031;379;1
1032;369;1
1033;298;2
1034;339;1
1035;414;2
1036;566;1
1037;-99997;5
1041;733;5
1042;207;5
1043;191;2
1046;468;5
1047;-99997;5
1051;410;1
1052;433;1
1053;422;1
1054;570;1
1055;344;1
1056;396;1
1057;397;1
1058;479;1
1059;380;1
1060;461;1
1061;363;1
1062;293;1
1063;285;1
1064;302;1
1065;320;1
1066;435;1
1067;349;1
1068;293;1
1069;315;1
1071;1013;1
1072;446;1
1073;444;1
1074;465;1
1075;744;1
1076;491;1
1077;1183;1
1078;551;1
1079;459;1
1081;548;1
1082;492;1
1083;373;1
1086;528;3
1087;536;2
1091;441;1
1092;457;1
1093;424;1
1094;387;1
1095;375;1
1096;428;1
1097;398;1
1098;499;1
1101;-99997;3
1102;214;1
1103;298;1
1104;269;1
1105;-99997;2
1106;274;2
1107;275;2
1108;264;2
1109;401;5
1111;384;1
1112;335;1
1113;425;3
1114;510;3
1115;408;2
1117;-99997;5
1118;-99997;5
1119;-99997;5
1121;467;3
1127;731;5
1131;307;2
1132;376;3
1135;373;3
1141;367;4
1145;656;5
1151;591;5
1153;749;5
1154;660;5
1156;281;5
1161;353;3
1165;397;4
1171;464;2
1175;440;4
1181;573;1
1182;636;2
1183;422;1
1184;902;4
1185;395;1
1186;386;2
1187;506;2
1188;405;2
1189;484;5
1191;578;4
1211;304;1
1212;254;2
1213;727;2
1214;365;1
1215;398;1
1216;324;2
1217;754;2
1218;401;4
1221;307;1
1222;324;2
1223;371;1
1231;523;4
1241;424;4
1243;462;4
1244;474;5
1251;793;3
1252;732;4
1261;749;3
1262;687;3
1271;400;2
1272;760;3
1273;311;2
1274;290;2
1275;301;1
1276;306;2
1277;458;2
1309;312;5
1311;295;2
1312;317;2
1313;283;3
1314;225;2
1315;234;2
1316;348;3
1317;251;3
1318;300;2
1319;458;4
1321;340;2
1323;289;2
1324;256;2
1325;308;2
1326;318;2
1328;325;2
1331;467;5
1332;432;5
1333;268;2
1334;202;2
1335;295;2
1336;339;3
1338;277;2
1339;297;2
1341;389;5
1343;618;5
1349;500;5
1351;306;3
1352;274;2
1353;220;2
1354;234;2
1355;260;2
1356;283;3
1357;270;3
1358;1131;5
1359;461;4
1361;447;3
1362;-99997;3
1363;359;2
1381;462;2
1382;350;2
1383;382;3
1384;615;2
1391;602;4
1393;525;5
1394;467;5
1396;562;5
1398;495;4
1399;483;5
1401;596;1
1402;445;1
1403;321;2
1404;384;1
1405;910;2
1406;677;2
1411;525;4
1412;614;2
1421;339;2
1422;351;2
1423;401;3
1424;400;4
1426;501;5
1427;402;4
1428;391;5
1431;401;3
1432;502;4
1433;392;4
1435;372;5
1436;342;4
1437;456;5
1438;300;5
1441;301;1
1442;262;1
1443;260;1
1444;276;2
1445;273;2
1446;303;3
1447;354;2
1448;385;2
1451;647;5
1452;407;5
1454;575;5
1456;466;5
1458;569;5
1461;520;3
1462;411;4
1463;588;5
1464;569;5
1471;496;5
1472;494;5
1473;537;5
1474;352;5
1475;407;5
1476;470;5
1477;482;5
1481;443;5
1482;558;5
1483;352;4
1484;416;5
1485;721;5
1486;390;5
1487;295;5
1488;528;5
1489;565;5
1501;266;1
1502;273;1
1503;271;1
1504;254;2
1505;273;2
1506;325;1
1507;346;2
1508;252;2
1509;329;4
1511;411;3
1521;264;2
1525;361;5
1531;323;2
1534;422;5
1536;452;5
1541;325;2
1544;308;3
1546;457;5
1551;408;5
1561;276;2
1562;348;2
1566;366;4
1567;406;2
1601;284;3
1602;257;3
1606;317;5
1607;335;5
1608;410;5
1609;393;5
1611;292;3
1613;291;3
1614;315;4
1616;316;4
1617;336;5
1619;300;5
1621;327;2
1622;237;3
1623;346;2
1624;303;2
1625;273;2
1627;-99997;4
1628;268;2
1631;363;5
1633;327;4
1634;301;5
1636;306;5
1641;287;5
1642;407;5
1643;465;5
1645;327;5
1646;466;5
1647;357;5
1648;318;4
1652;404;5
1654;396;5
1655;337;5
1657;314;5
1658;416;5
1661;365;5
1662;339;5
1663;371;5
1671;285;3
1674;328;5
1676;349;5
1678;365;5
1679;304;5
1681;390;5
1682;441;5
1683;388;5
1684;343;5
1685;380;4
1686;392;5
1687;382;4
1688;340;5
1689;296;3
1691;404;5
1692;421;5
1693;331;4
1695;356;2
1696;386;5
1697;422;5
1701;295;3
1702;272;2
1703;253;2
1704;378;4
1705;315;2
1706;363;4
1711;371;5
1713;319;4
1715;327;4
1716;292;4
1718;316;5
1719;395;5
1721;363;4
1722;352;3
1723;286;3
1724;328;4
1731;313;5
1732;380;5
1733;318;5
1734;444;5
1735;323;5
1736;410;5
1738;334;5
1741;301;2
1742;296;4
1744;353;5
1746;321;5
1747;315;5
1749;337;4
1751;317;5
1752;333;5
1753;317;5
1754;338;5
1755;318;5
1756;281;5
1757;285;5
1759;314;5
1761;275;4
1764;303;5
1766;293;5
1767;285;5
1768;397;5
1769;494;5
1771;268;4
1773;186;5
1774;320;5
1775;290;5
1777;253;4
1778;309;5
1779;246;5
1781;147;2
1782;159;2
1783;175;3
1784;166;2
1785;181;3
1786;302;5
1787;310;4
1788;234;3
1789;369;5
1791;308;4
1792;333;5
1793;372;5
1794;335;5
1795;358;5
1796;375;5
1797;334;5
1811;280;1
1812;311;4
1813;243;1
1814;272;1
1815;335;1
1816;248;2
1817;338;2
1821;278;1
1822;398;2
1823;302;1
1824;253;2
1825;226;2
1826;246;2
1827;267;2
1829;334;3
1831;289;3
1832;394;5
1834;363;3
1841;340;5
1842;446;5
1843;424;5
1844;464;5
1846;419;5
1847;492;5
1851;428;3
1852;404;3
1853;505;2
1861;667;3
1862;458;3
1865;744;5
1871;495;5
1873;395;5
1901;405;2
1902;383;2
1906;447;4
1911;361;3
1921;385;4
1931;344;3
1934;390;5
1935;356;5
1941;218;1
1942;378;1
1943;324;1
1944;273;1
1945;258;1
1946;231;1
1947;257;1
1948;423;2
1949;281;5
1951;233;3
1961;336;1
1962;283;2
1963;342;2
1964;332;1
1965;413;1
1966;243;1
1967;440;3
1968;601;5
1969;492;3
1971;284;2
1972;242;1
1973;237;1
1974;259;2
1975;243;2
1976;368;3
1981;517;4
1985;541;4
1991;398;2
1992;449;3
2011;455;1
2012;641;1
2013;474;1
2014;466;1
2015;544;2
2019;521;1
2021;371;1
2022;402;1
2023;575;1
2024;457;1
2025;341;1
2026;392;2
2031;516;2
2032;353;1
2033;347;1
2034;279;1
2035;322;1
2036;297;1
2037;264;1
2041;332;2
2042;462;2
2051;873;2
2061;908;3
2063;464;5
2064;480;5
2065;635;5
2071;472;2
2082;673;3
2101;575;2
2102;768;2
2103;531;3
2104;460;4
2105;486;3
2106;762;2
2111;1262;4
2114;464;5
2116;798;5
2121;515;4
2131;402;2
2132;336;2
2133;354;2
2134;398;2
2135;406;2
2136;506;4
2141;480;4
2142;509;4
2143;319;5
2144;379;3
2151;383;2
2152;402;2
2153;349;4
2154;413;5
2155;520;5
2156;389;5
2157;370;5
2158;366;5
2159;545;5
2161;368;2
2162;340;3
2163;349;2
2165;384;3
2171;378;2
2172;361;2
2181;348;2
2182;347;3
2191;383;5
2201;397;2
2202;570;2
2203;382;2
2204;715;5
2211;370;3
2212;673;4
2215;408;3
2216;399;3
2221;320;2
2222;413;2
2223;360;2
2224;353;1
2225;360;2
2231;386;2
2232;489;3
2235;419;3
2241;405;2
2242;613;2
2243;1448;5
2244;1286;5
2245;593;5
2251;433;2
2252;466;2
2253;376;2
2254;546;3
2261;389;2
2262;195;1
2263;227;2
2264;362;1
2265;388;2
2266;340;3
2267;784;3
2271;498;2
2272;392;1
2273;246;1
2274;293;1
2275;495;1
2281;437;1
2282;279;1
2283;255;1
2284;212;1
2285;305;1
2286;350;1
2287;227;1
2288;387;2
2289;406;3
2291;357;2
2292;409;2
2295;394;4
2311;436;1
2312;338;1
2313;433;1
2314;442;1
2315;273;1
2316;340;1
2317;330;1
2318;410;2
2321;265;1
2322;347;4
2323;832;3
2324;270;1
2331;353;2
2332;310;1
2333;348;2
2334;561;2
2341;553;2
2342;628;3
2343;429;2
2351;459;2
2352;312;1
2353;363;2
2355;390;5
2361;506;4
2362;496;5
2371;379;3
2374;438;5
2375;387;5
2376;416;5
2377;324;4
2381;398;4
2382;412;3
2391;376;4
2394;322;4
2396;349;4
2401;294;2
2402;250;1
2403;261;2
2404;240;2
2405;282;1
2406;314;1
2407;469;5
2408;373;2
2409;643;5
2411;327;2
2412;425;4
2415;410;5
2421;381;4
2431;421;5
2432;484;5
2435;351;5
2441;366;5
2445;449;5
2451;376;4
2461;378;5
2465;419;5
2471;439;5
2481;380;5
2491;665;3
2492;409;3
2493;449;3
2495;629;3
2496;418;2
2497;366;2
2498;492;3
2511;333;1
2512;230;1
2513;315;1
2514;528;1
2515;215;1
2516;195;1
2517;453;1
2518;352;1
2521;191;1
2522;199;1
2523;205;1
2524;226;1
2525;230;1
2526;211;1
2531;192;1
2532;178;1
2533;176;1
2541;167;1
2542;207;1
2543;189;1
2544;221;1
2545;230;1
2546;229;1
2547;213;1
2548;401;1
2551;247;1
2552;273;1
2553;383;2
2554;548;2
2555;289;1
2561;328;1
2562;245;1
2563;281;1
2564;378;1
2565;355;1
2566;629;1
2571;204;1
2572;236;1
2573;205;1
2574;215;1
2581;391;1
2582;612;1
2583;295;1
2584;356;1
2585;605;1
2586;345;1
2587;488;1
2591;230;1
2592;219;1
2593;321;1
2594;540;1
